	SubjectID1	SubjectID2	Group1	Group2	Distance
220	SRR7013994	SRR7013971	Crohn's disease	Crohn's disease	0.4880143381807109
221	SRR7013994	SRR7013972	Crohn's disease	Crohn's disease	0.4748061076710632
222	SRR7013994	SRR7013975	Crohn's disease	Crohn's disease	0.46212083979192603
223	SRR7013994	SRR7013976	Crohn's disease	Crohn's disease	0.4586196614794836
224	SRR7013994	SRR7013977	Crohn's disease	Crohn's disease	0.5699344522161257
225	SRR7013994	SRR7013985	Crohn's disease	Crohn's disease	0.5405316825951476
226	SRR7013994	SRR7013986	Crohn's disease	Crohn's disease	0.4964613590892515
227	SRR7013994	SRR7013990	Crohn's disease	Crohn's disease	0.5715116934995661
228	SRR7013994	SRR7013991	Crohn's disease	Crohn's disease	0.3905756538805885
229	SRR7013994	SRR7013992	Crohn's disease	Crohn's disease	0.590808488251758
230	SRR7013994	SRR7013993	Crohn's disease	Crohn's disease	0.5505665602678147
231	SRR7013995	SRR7013953	Crohn's disease	Crohn's disease	0.6583358196561578
232	SRR7013995	SRR7013954	Crohn's disease	Crohn's disease	0.6058242128469993
233	SRR7013995	SRR7013955	Crohn's disease	Crohn's disease	0.6053544114274112
234	SRR7013995	SRR7013956	Crohn's disease	Crohn's disease	0.6276289575552199
235	SRR7013995	SRR7013958	Crohn's disease	Crohn's disease	0.631953375531229
236	SRR7013995	SRR7013959	Crohn's disease	Crohn's disease	0.6296653708889356
237	SRR7013995	SRR7013960	Crohn's disease	Crohn's disease	0.5786196689777201
238	SRR7013995	SRR7013961	Crohn's disease	Crohn's disease	0.5911273138049038
239	SRR7013995	SRR7013969	Crohn's disease	Crohn's disease	0.5569224241758459
240	SRR7013995	SRR7013970	Crohn's disease	Crohn's disease	0.4899151420797279
241	SRR7013995	SRR7013971	Crohn's disease	Crohn's disease	0.542641409260095
242	SRR7013995	SRR7013972	Crohn's disease	Crohn's disease	0.6256530123137058
243	SRR7013995	SRR7013975	Crohn's disease	Crohn's disease	0.5794794716926913
244	SRR7013995	SRR7013976	Crohn's disease	Crohn's disease	0.5597510060218235
245	SRR7013995	SRR7013977	Crohn's disease	Crohn's disease	0.6180411782693026
246	SRR7013995	SRR7013985	Crohn's disease	Crohn's disease	0.5351387251838611
247	SRR7013995	SRR7013986	Crohn's disease	Crohn's disease	0.5176962166380128
248	SRR7013995	SRR7013990	Crohn's disease	Crohn's disease	0.5542021986440735
249	SRR7013995	SRR7013991	Crohn's disease	Crohn's disease	0.6024809460601579
250	SRR7013995	SRR7013992	Crohn's disease	Crohn's disease	0.6921756903812054
251	SRR7013995	SRR7013993	Crohn's disease	Crohn's disease	0.5484884186233897
252	SRR7013995	SRR7013994	Crohn's disease	Crohn's disease	0.5199745306027174
253	SRR7013996	SRR7013953	Crohn's disease	Crohn's disease	0.6163833212538019
254	SRR7013996	SRR7013954	Crohn's disease	Crohn's disease	0.559988403007478
255	SRR7013996	SRR7013955	Crohn's disease	Crohn's disease	0.46382888510846454
256	SRR7013996	SRR7013956	Crohn's disease	Crohn's disease	0.5063104403013958
